House Id,Lot Area,Overall Quality,Overall Condition,Year Built,Basement Area,Ground Floor Area,Second Floor Area,Living Area,Bathrooms,Bedrooms,Fireplaces,Garage Area,Deck Area,Sale Price
34,10552,5,5,1959,1398,1700,0,1700,3,4,1,447,0,165500
35,7313,9,5,2005,1561,1561,0,1561,3,2,1,556,203,277500
36,13418,8,5,2004,1117,1132,1320,2452,4,4,1,691,113,309000
37,10859,5,5,1994,1097,1097,0,1097,2,3,0,672,392,145000
38,8532,5,6,1954,1297,1297,0,1297,2,3,1,498,0,153000
39,7922,5,7,1953,1057,1057,0,1057,2,3,0,246,0,109000
40,6040,4,5,1955,0,1152,0,1152,2,2,0,0,0,82000
41,8658,6,5,1965,1088,1324,0,1324,2,3,1,440,0,160000
42,16905,5,6,1959,1350,1328,0,1328,3,2,2,308,0,170000
43,9180,5,7,1983,840,884,0,884,2,2,0,504,240,144000
44,9200,5,6,1975,938,938,0,938,2,3,0,308,145,130250
45,7945,5,6,1959,1150,1150,0,1150,2,3,0,300,0,141000
46,7658,9,5,2005,1752,1752,0,1752,3,2,1,576,196,319900
47,12822,7,5,2003,1434,1518,631,2149,3,1,1,670,168,239686
48,11096,8,5,2006,1656,1656,0,1656,2,3,0,826,0,249700
49,4456,4,5,1920,736,736,716,1452,2,2,0,0,0,113000
50,7742,5,7,1966,955,955,0,955,2,3,0,386,0,127000
51,13869,6,6,1997,794,794,676,1470,3,3,0,388,0,177000
52,6240,6,6,1934,816,816,0,1176,1,3,1,528,112,114500
53,8472,5,5,1963,816,816,0,816,2,2,0,516,106,110000
54,50271,9,5,1981,1842,1842,0,1842,3,0,1,894,857,385000
55,7134,5,5,1955,384,1360,0,1360,1,3,1,572,0,130000
56,10175,6,5,1964,1425,1425,0,1425,2,3,1,576,0,180500
57,2645,8,5,1999,970,983,756,1739,4,3,0,480,115,172500
58,11645,7,5,2004,860,860,860,1720,3,3,0,565,0,196500
59,13682,10,5,2006,1410,1426,1519,2945,4,3,1,641,192,438780
60,7200,5,7,1972,780,780,0,780,1,2,0,352,196,124900
61,13072,6,5,2004,1158,1158,0,1158,3,3,0,576,0,158000
62,7200,5,7,1920,530,581,530,1111,1,3,0,288,0,101000
63,6442,8,5,2006,1370,1370,0,1370,2,2,1,484,120,202500
64,10300,7,6,1921,576,902,808,1710,2,3,0,480,12,140000
65,9375,7,5,1997,1057,1057,977,2034,4,3,0,645,576,219500
66,9591,8,5,2004,1143,1143,1330,2473,3,4,1,852,192,317000
67,19900,7,5,1970,1947,2207,0,2207,3,3,1,576,301,180000
68,10665,7,5,2003,1453,1479,0,1479,3,3,0,558,144,226000
69,4608,4,6,1945,747,747,0,747,1,2,0,220,0,80000
70,15593,7,4,1953,1304,1304,983,2287,2,3,1,667,0,225000
71,13651,7,6,1973,2223,2223,0,2223,3,3,2,516,300,244000
72,7599,4,6,1982,845,845,0,845,2,2,0,360,0,129500
73,10141,7,5,1998,832,885,833,1718,3,3,1,427,0,185000
74,10200,5,7,1954,1086,1086,0,1086,2,3,0,490,0,144900
75,5790,3,6,1915,840,840,765,1605,2,3,0,379,0,107400
76,1596,4,5,1973,462,526,462,988,2,2,0,297,120,91000
77,8475,4,7,1956,952,952,0,952,1,2,0,283,0,135750
78,8635,5,5,1948,672,1072,213,1285,2,2,0,240,0,127000
79,10778,4,5,1968,1768,1768,0,1768,2,4,0,0,0,136500
80,10440,5,6,1910,440,682,548,1230,2,2,0,440,74,110000
81,13000,6,6,1968,896,1182,960,2142,3,4,1,509,0,193500
82,4500,6,5,1998,1237,1337,0,1337,3,2,0,405,0,153500
83,10206,8,5,2007,1563,1563,0,1563,2,3,1,758,144,245000
84,8892,5,5,1960,1065,1065,0,1065,2,3,0,461,74,126500
85,8530,7,5,1995,384,804,670,1474,3,3,1,400,120,168500
86,16059,8,5,1991,1288,1301,1116,2417,3,4,1,462,127,260000
87,11911,6,5,2005,684,684,876,1560,3,3,1,400,100,174000
88,3951,6,5,2009,612,612,612,1224,3,2,0,528,0,164500
89,8470,3,2,1915,1013,1013,0,1526,1,2,0,0,0,85000
90,8070,4,5,1994,990,990,0,990,2,3,0,0,0,123600
91,7200,4,5,1950,0,1040,0,1040,1,2,0,420,0,109900
92,8500,5,3,1961,1235,1235,0,1235,1,2,0,480,0,98600
93,13360,5,7,1921,876,964,0,964,2,2,0,432,0,163500
94,7200,6,6,1910,1214,1260,1031,2291,3,4,1,506,0,133900
95,9337,6,5,1997,824,905,881,1786,4,3,0,684,0,204750
96,9765,6,8,1993,680,680,790,1470,3,3,1,420,232,185000
97,10264,7,5,1999,1588,1588,0,1588,2,3,0,472,158,214000
98,10921,4,5,1965,960,960,0,960,2,3,0,432,120,94750
99,10625,5,5,1920,458,835,0,835,1,2,0,366,0,83000
100,9320,4,5,1959,950,1225,0,1225,3,3,0,0,352,128950
101,10603,6,7,1977,1610,1610,0,1610,3,3,2,480,168,205000
102,9206,6,5,1985,741,977,755,1732,3,3,1,476,192,178000
103,7018,5,5,1979,0,1535,0,1535,2,4,0,410,0,118964
104,10402,7,5,2009,1226,1226,0,1226,2,3,0,740,0,198900
105,7758,7,4,1931,1040,1226,592,1818,2,4,2,240,0,169500
106,9375,8,5,2003,1053,1053,939,1992,3,3,1,648,140,250000
107,10800,4,7,1885,641,1047,0,1047,1,2,0,273,0,100000
108,6000,5,5,1948,789,789,0,789,1,2,0,250,0,115000
109,8500,5,7,1919,793,997,520,1517,2,3,0,0,0,115000
110,11751,6,6,1977,1844,1844,0,1844,2,3,1,546,0,190000
111,9525,6,4,1954,994,1216,639,1855,2,4,0,325,182,136900
112,7750,7,5,2000,384,774,656,1430,3,3,1,400,180,180000
113,9965,7,5,2007,1264,1282,1414,2696,4,4,1,792,120,383970
114,21000,6,5,1953,1809,2259,0,2259,3,3,2,450,166,217000
115,7259,6,8,1945,1028,1436,884,2320,4,3,1,180,224,259500
116,3230,6,5,1999,729,729,729,1458,3,2,1,440,0,176000
117,11616,5,5,1962,1092,1092,0,1092,2,3,1,288,0,139000
118,8536,5,5,2006,1125,1125,0,1125,2,2,0,430,80,155000
119,12376,7,5,1990,1673,1699,1523,3222,4,5,2,594,367,320000
120,8461,6,5,2005,728,728,728,1456,3,3,1,390,0,163990
121,21453,6,5,1969,938,988,0,988,2,1,2,540,0,180000
122,6060,4,5,1939,732,772,351,1123,1,3,0,264,0,100000
123,9464,6,7,1958,1080,1080,0,1080,1,3,0,288,0,136000
124,7892,6,5,1993,1199,1199,0,1199,2,2,0,530,0,153900
125,17043,6,5,1979,1362,1586,0,1586,2,3,1,435,192,181000
126,6780,6,8,1935,520,520,0,754,2,2,0,0,53,84500
127,4928,6,5,1976,1078,958,0,958,2,2,1,440,0,128000
128,4388,5,7,1930,672,840,0,840,1,3,1,0,0,87000
129,7590,6,5,1966,660,660,688,1348,2,3,1,453,188,155000
130,8973,5,7,1958,1008,1053,0,1053,3,3,0,750,0,150000
131,14200,7,6,1966,924,1216,941,2157,3,4,2,487,105,226000
132,12224,6,5,2000,992,1022,1032,2054,4,3,1,390,24,244000
133,7388,5,6,1959,1063,1327,0,1327,2,3,0,624,0,150750
134,6853,8,5,2001,1267,1296,0,1296,3,2,0,471,192,220000
135,10335,5,6,1968,1461,1721,0,1721,3,3,1,440,0,180000
136,10400,7,6,1970,1304,1682,0,1682,2,3,1,530,98,174000
137,10355,5,5,1967,1214,1214,0,1214,2,3,1,318,0,143000
138,11070,7,5,1988,1907,1959,0,1959,3,5,0,766,0,171000
139,9066,8,5,1999,1004,1004,848,1852,3,3,2,660,224,230000
140,15426,6,5,1997,928,928,836,1764,4,3,0,470,276,231500
141,10500,4,5,1971,864,864,0,864,1,3,1,0,0,115000
142,11645,7,5,2005,1734,1734,0,1734,3,3,0,660,160,260000
143,8520,5,4,1952,910,910,475,1385,2,4,0,720,0,166000
144,10335,7,5,1999,1490,1501,0,1501,3,3,0,577,144,204000
145,9100,5,5,1963,1728,1728,0,1728,3,6,0,504,0,125000
146,2522,6,5,2004,970,970,739,1709,2,3,0,380,0,130000
147,6120,5,7,1931,715,875,0,875,2,2,0,180,48,105000
148,9505,7,5,2001,884,884,1151,2035,3,3,1,434,144,222500
149,7500,7,5,2004,1080,1080,0,1080,2,3,0,0,0,141000
150,6240,5,4,1936,896,896,448,1344,1,3,0,240,200,115000
151,10356,5,6,1975,969,969,0,969,2,3,0,440,0,122000
152,13891,8,5,2007,1710,1710,0,1710,3,2,1,866,0,372402
153,14803,6,5,1971,825,1097,896,1993,3,4,1,495,0,190000
154,13500,6,7,1960,1602,1252,0,1252,2,1,1,564,409,235000
155,11340,6,5,1923,1200,1200,0,1200,1,4,0,312,0,125000
156,9600,6,5,1924,572,572,524,1096,1,2,0,0,0,79000
157,7200,5,7,1950,0,1040,0,1040,1,2,0,625,0,109500
158,12003,8,5,2009,774,774,1194,1968,3,4,1,680,0,269500
159,12552,7,5,2004,991,991,956,1947,3,3,1,678,0,254900
160,19378,7,5,2005,1392,1392,1070,2462,4,4,1,576,239,320000
161,11120,6,6,1984,1232,1232,0,1232,2,3,0,516,0,162500
162,13688,9,5,2003,1572,1572,1096,2668,4,3,2,726,400,412500
163,12182,7,5,2005,1541,1541,0,1541,2,3,1,532,0,220000
164,5500,4,6,1956,882,882,0,882,1,1,0,0,0,103200
165,5400,6,7,1926,1149,1149,467,1616,2,3,0,216,0,152000
166,10106,5,7,1940,644,808,547,1355,3,4,0,0,140,127500
167,10708,5,5,1955,1617,1867,0,1867,2,2,3,303,476,190000
168,10562,8,5,2007,1582,1610,551,2161,3,3,1,789,178,325624
169,8244,7,5,2004,840,840,880,1720,3,3,1,440,100,183500
170,16669,8,6,1981,1686,1707,0,1707,3,2,1,511,574,228000
171,12358,5,6,1941,720,854,0,1382,2,2,0,660,237,128500
172,31770,6,5,1960,1080,1656,0,1656,2,3,2,528,210,215000
173,5306,7,7,1987,1064,1064,703,1767,3,2,1,504,441,239000
174,10197,6,5,1961,1362,1362,0,1362,3,3,1,504,0,163000
175,12416,6,5,1986,1606,1651,0,1651,3,3,1,616,192,184000
176,12615,6,7,1950,1202,2158,0,2158,3,4,1,576,0,243000
177,10029,6,5,1988,1151,1164,896,2060,4,4,1,521,0,211000
178,13650,5,5,1958,1052,1252,668,1920,3,4,1,451,0,172500
179,17423,9,5,2008,2216,2234,0,2234,3,1,1,1166,0,501837
180,8520,5,6,1923,968,968,0,968,1,2,0,480,0,100000
181,2117,6,5,2000,756,769,756,1525,3,3,1,440,0,177000
182,7588,7,6,1920,793,901,901,1802,2,4,1,216,0,200100
183,9060,5,6,1957,0,1340,0,1340,1,3,1,252,116,120000
184,11426,7,5,2003,1362,1362,720,2082,3,3,0,484,280,200000
185,7438,5,8,1908,504,936,316,1252,1,3,0,576,104,127000
186,22950,10,9,1892,1107,1518,1518,3608,3,4,2,840,0,475000
187,9947,7,5,1990,1188,1217,0,1217,3,3,0,497,168,173000
188,10410,5,7,1916,660,808,704,1656,3,3,0,180,0,135000
189,7018,5,5,1979,1086,1224,0,1224,4,2,2,528,120,153337
190,4923,8,5,2001,1593,1593,0,1593,3,0,1,682,0,286000
191,10570,8,8,1932,853,1549,1178,2727,3,3,2,440,0,315000
192,7472,7,9,1972,725,725,754,1479,3,4,0,484,0,184000
193,9017,7,5,1999,1431,1431,0,1431,3,3,0,666,0,192000
194,2522,7,5,2004,970,970,739,1709,2,3,0,380,0,130000
195,7180,5,7,1972,864,864,0,864,1,3,0,352,0,127000
196,2280,6,6,1976,855,855,601,1456,3,3,1,440,87,148500
197,9416,7,5,2007,1726,1726,0,1726,3,3,1,786,171,311872
198,25419,8,4,1918,1360,1360,1360,3112,4,4,1,795,0,235000
199,5520,6,6,1912,755,929,929,2229,1,5,0,0,0,104000
200,9591,8,5,2004,1713,1713,0,1713,3,3,1,856,0,274900
201,8546,4,5,2003,1121,1121,0,1121,2,2,0,440,132,140000
202,10125,6,6,1977,1196,1279,0,1279,3,3,2,473,238,171500
203,7000,6,6,1924,617,865,445,1310,2,2,0,398,0,112000
204,4438,6,5,2004,848,848,0,848,2,1,1,420,149,149000
205,3500,5,7,1947,720,720,564,1284,2,2,0,240,0,110000
206,11851,7,5,1990,1424,1442,0,1442,2,3,0,500,0,180500
207,13673,5,5,1962,1140,1696,0,1696,2,3,1,349,0,143900
208,12493,4,5,1960,1100,1100,0,1100,2,3,1,312,355,141000
209,14364,7,5,1988,1157,1180,882,2062,4,3,1,454,60,277000
210,8250,6,7,1964,1092,1092,0,1092,2,3,0,504,0,145000
211,5604,5,6,1925,864,864,0,864,2,2,0,0,0,98000
212,10420,6,5,2009,1212,1212,0,1212,2,3,0,460,100,186000
213,8640,7,5,2009,900,932,920,1852,4,3,1,644,168,252678
214,13568,5,5,1995,990,990,0,990,2,3,0,576,224,156000
215,10900,6,7,1977,689,689,703,1392,2,3,0,299,0,161750
216,10011,5,6,1957,1070,1236,0,1236,2,2,1,447,0,134450
217,8450,7,5,2004,1436,1436,0,1436,3,3,0,484,139,210000
218,9906,4,4,1925,686,810,518,1328,1,3,0,210,0,107000
219,15660,7,9,1939,798,1137,817,1954,3,3,2,431,0,311500
220,3010,7,5,2005,1248,1248,0,1248,2,2,0,438,108,167240
221,8990,7,5,2006,1498,1498,0,1498,2,2,0,675,351,204900
222,8068,6,5,2002,1010,1010,1257,2267,3,4,1,390,120,200000
223,11475,6,6,1975,713,811,741,1552,4,3,1,434,209,179900
224,10500,4,6,1971,864,864,0,864,1,2,0,576,216,97000
225,13472,10,5,2003,2392,2392,0,2392,2,3,1,968,248,386250
226,1680,5,5,1971,630,630,672,1302,3,3,0,280,0,112000
227,9950,7,5,1995,1203,1214,1306,2520,3,4,1,721,224,290000
228,1869,6,6,1970,483,483,504,987,2,2,0,280,0,106000
229,8521,5,5,1967,912,912,0,912,1,3,1,336,0,125000
230,3182,7,5,2005,1373,1555,0,1555,2,2,1,430,143,192500
231,8760,6,6,1959,1194,1194,0,1194,2,3,0,312,0,148000
232,15138,8,5,1995,1462,1490,1304,2794,4,4,1,810,0,403000
233,1680,6,5,1972,483,483,504,987,2,2,1,288,0,94500
234,10650,5,6,1976,894,894,0,894,2,3,0,308,365,128200
235,7851,6,5,2002,860,860,1100,1960,4,4,2,440,288,216500
236,1680,6,3,1971,483,483,504,987,2,2,0,264,0,89500
237,8773,7,5,2004,1414,1414,0,1414,2,3,0,494,132,185500
238,9453,7,7,1993,996,1014,730,1744,3,3,0,457,370,194500
239,12030,8,5,2007,1694,1694,0,1694,2,3,0,818,168,318000
240,8741,6,4,1945,735,798,689,1487,2,3,1,220,0,113000
241,9000,8,5,2008,1566,1566,0,1566,3,3,0,750,144,262500
242,3880,5,9,1945,686,866,0,866,1,2,0,0,58,110500
243,5000,5,4,1900,540,889,551,1440,1,3,0,352,0,79000
244,10762,6,6,1980,626,626,591,1217,2,3,1,288,0,120000
245,8880,7,5,1994,948,1222,888,2110,4,3,2,463,0,205000
246,10400,7,5,1988,1845,1872,0,1872,3,3,1,604,197,241500
247,9142,6,8,1910,1020,908,1020,1928,2,4,0,440,0,137000
248,11310,6,5,1954,1367,1375,0,1375,1,2,1,451,0,140000
249,11317,7,5,2003,840,840,828,1668,3,3,0,500,144,180000
250,159000,6,7,1958,1444,1444,700,2144,3,4,2,389,0,277000
251,5350,3,2,1940,728,1306,0,1306,1,3,0,0,263,76500
252,4750,8,5,2006,1573,1625,0,1625,4,2,1,538,123,235000
253,8366,6,5,2004,798,798,842,1640,3,3,0,520,138,173000
254,9350,6,7,1964,1302,1302,0,1302,3,3,0,309,333,158000
255,8400,5,6,1957,1314,1314,0,1314,2,3,0,294,250,145000
256,8738,7,5,1999,975,1005,1286,2291,3,4,1,429,192,230000
257,8791,6,5,2003,864,864,864,1728,3,3,0,673,216,207500
258,8814,7,5,2006,1604,1604,0,1604,4,3,1,660,123,220000
259,12435,7,5,2001,963,963,829,1792,3,3,1,564,0,231500
260,12702,5,5,1956,0,882,0,882,1,2,0,308,0,97000
261,19296,6,5,1962,1362,1382,0,1382,2,3,1,884,0,176000
262,9588,8,5,2007,1482,1482,1092,2574,3,3,1,868,0,276000
263,8471,6,7,1977,506,1212,0,1212,2,3,1,492,292,151000
264,5500,5,7,1929,926,926,0,1316,2,3,0,484,0,130000
265,5232,5,5,1925,680,764,0,764,1,2,0,504,0,73000
266,12090,6,6,1981,1422,1422,0,1422,2,3,1,576,276,175500
267,11207,6,5,1997,802,802,709,1511,4,3,1,413,95,185000
268,8400,5,8,1939,720,1052,720,2192,3,4,1,240,262,179500
269,6900,5,6,1940,740,778,0,778,1,2,1,924,0,120500
270,7917,6,7,1976,1143,1113,0,1113,3,3,1,504,370,148000
271,10728,8,5,2006,1095,1095,844,1939,3,3,1,1053,192,266000
272,39104,7,7,1954,1385,1363,0,1363,2,2,2,439,81,241500
273,11764,8,7,1999,1152,1164,1106,2270,3,4,1,671,132,290000
274,9600,6,6,1958,1240,1632,0,1632,3,3,1,338,289,139000
275,8314,5,7,1982,816,816,0,816,1,2,0,264,168,124500
276,7264,7,7,1925,952,952,596,1548,3,3,0,672,74,205000
277,9196,7,5,2003,1560,1560,0,1560,2,3,0,573,100,201000
278,19138,4,5,1951,864,864,0,864,1,2,0,400,0,141000
279,14450,9,5,2006,2121,2121,0,2121,3,3,1,732,124,415298
280,10005,7,5,1977,1160,1156,866,2022,3,4,1,505,288,192000
281,11287,7,6,1989,807,1175,807,1982,3,3,1,575,0,228500
282,7200,6,5,2006,1262,1262,0,1262,2,2,0,572,0,185000
283,5063,7,5,2007,1314,1314,0,1314,3,2,1,626,172,207500
284,9612,8,5,2008,1468,1468,0,1468,2,3,1,898,210,244600
285,8012,6,5,1992,1575,1575,0,1575,3,2,0,529,0,179200
286,4251,7,5,2006,625,625,625,1250,3,2,0,528,0,164700
287,9786,6,7,1962,912,1085,649,1734,2,3,1,440,0,159000
288,8125,4,4,1971,858,858,0,858,1,3,0,0,0,88000
289,9819,5,5,1967,882,900,0,900,1,3,0,280,0,122000
290,8730,6,7,1915,698,698,698,1396,1,3,0,384,0,153575
291,15611,8,5,2006,1079,1079,840,1919,3,3,1,685,0,233230
292,5687,5,6,1912,780,936,780,1716,3,6,0,0,0,135900
293,11409,5,4,1949,768,1148,568,1716,2,3,1,281,0,131000
294,16659,7,7,1977,795,1468,795,2263,4,3,1,539,0,235000
295,9600,6,5,1953,1416,1644,0,1644,2,3,2,418,110,167000
296,7937,6,6,1984,1003,1003,0,1003,2,3,0,588,120,142500
297,13710,5,5,1950,910,910,648,1558,2,4,0,282,289,152000
298,7399,7,5,1997,975,975,975,1950,3,3,1,576,0,239000
299,11700,6,6,1968,702,1041,702,1743,4,3,1,539,224,175000
300,14000,6,8,1950,1092,1152,0,1152,2,3,1,300,0,158500
301,15750,5,5,1953,1165,1336,0,1336,2,2,2,375,0,157000
302,16226,8,5,1998,1028,1210,1242,2452,3,4,1,683,208,267000
303,13704,7,5,2001,1541,1541,0,1541,2,3,1,843,468,205000
304,9800,5,7,1972,894,894,0,894,2,3,0,552,256,149900
305,18386,7,9,1880,1470,1675,1818,3493,3,3,1,870,302,295000
306,10386,8,5,2004,2000,2000,0,2000,3,3,0,888,168,305900
307,13474,7,5,1990,700,1122,1121,2243,4,4,1,746,127,225000
308,7920,6,7,1920,319,1035,371,1406,1,3,0,0,0,89500
309,12342,4,5,1940,861,861,0,861,1,1,0,539,158,82500
310,12378,9,5,2003,1896,1944,0,1944,3,3,3,708,208,360000
311,7685,6,5,1993,697,697,804,1501,3,3,1,420,190,165600
312,8000,6,6,1948,972,972,0,972,2,2,1,240,0,132000
313,7800,5,7,1939,793,793,325,1118,2,3,1,410,0,119900
314,215245,7,5,1965,2136,2036,0,2036,4,3,2,513,0,375000
315,9600,7,7,1925,728,832,809,1641,3,3,1,546,0,178000
316,7795,7,5,2004,716,716,716,1432,4,3,1,432,100,188500
317,13005,7,7,1980,845,1153,1200,2353,4,4,1,484,288,260000
318,9000,8,5,2006,1088,1088,871,1959,3,3,1,1025,208,270000
319,9900,7,5,1993,1347,1372,1274,2646,4,4,1,656,340,260000
320,14115,7,5,1980,1372,1472,0,1472,3,3,2,588,233,187500
321,16259,9,5,2006,1249,1249,1347,2596,4,4,0,840,240,342643
322,12099,8,5,2004,1136,1136,1332,2468,4,4,1,872,184,354000
323,10380,7,5,1986,1502,1553,1177,2730,4,4,1,576,201,301000
324,5820,3,8,1955,1162,1163,0,1163,2,3,0,220,142,126175
325,11275,7,7,1967,710,1898,1080,2978,3,5,1,564,240,242000
326,5000,5,6,1941,720,803,0,803,1,2,0,360,0,87000
327,10846,8,5,1993,1719,1719,0,1719,4,1,2,473,122,324000
328,11600,6,5,1960,1383,1383,0,1383,2,3,0,292,0,145250
329,11888,6,6,1916,844,1445,689,2134,2,5,0,441,0,214500
330,6402,5,5,1920,596,596,596,1192,1,3,0,189,0,78000
331,10624,5,4,1964,1728,1728,0,1728,3,6,0,352,155,119000
332,8176,5,6,1958,1056,1056,0,1056,2,3,0,308,0,139000
333,10655,8,5,2003,3206,1629,0,1629,3,3,1,880,0,284000
334,8198,7,5,2004,1358,1358,0,1358,3,2,1,484,192,207000
335,9042,6,5,1998,943,943,695,1638,4,3,2,472,100,192000
336,164660,5,6,1965,1499,1619,167,1786,4,3,2,529,670,228950
337,14157,9,5,2005,1922,1922,0,1922,3,3,1,676,178,377426
338,9135,7,5,2002,1536,1536,0,1536,3,3,0,532,192,214000
339,14145,7,7,1984,1208,1621,0,1621,3,3,0,440,108,202500
340,12400,6,7,1958,1215,1215,0,1215,1,3,0,297,0,155000
341,14191,8,5,2002,967,993,915,1908,3,4,0,431,135,202900
342,8400,4,4,1950,721,841,0,841,1,2,0,294,250,82000
343,8544,3,4,1949,0,1040,0,1040,2,2,0,400,0,87500
344,8849,9,5,2005,1684,1684,0,1684,2,2,1,564,495,266000
345,2592,5,3,1976,536,536,576,1112,2,3,0,336,182,85000
346,6435,6,5,1939,972,972,605,1577,1,3,1,312,0,140200
347,12772,6,8,1960,958,958,0,958,1,2,0,301,0,151500
348,17600,6,5,1960,1478,1478,0,1478,3,3,2,498,0,157500
349,2448,7,5,2003,764,764,862,1626,4,2,0,474,0,154000
350,20431,9,5,2005,1848,1848,880,2728,4,4,2,706,0,437154
351,7820,9,5,2007,1869,1869,0,1869,2,2,1,617,210,318061
352,5271,7,5,1986,1453,1453,0,1453,3,2,1,445,0,190000
353,9084,5,6,1941,616,616,495,1111,2,3,0,200,48,95000
354,8520,6,8,1928,624,720,0,720,1,2,0,484,106,105900
355,8400,6,5,1940,940,1192,403,1595,1,2,2,240,0,140000
356,11249,6,5,1995,1200,1200,0,1200,3,3,0,521,0,177500
357,9248,6,6,1992,1158,1167,0,1167,3,3,0,400,120,173000
358,4224,5,5,1976,1142,1142,0,1142,3,3,1,528,536,134000
359,6930,5,4,1958,1062,1352,0,1352,2,3,0,288,168,130000
360,12011,8,5,1998,1086,1086,838,1924,4,3,1,592,208,280000
361,7540,6,6,1978,888,912,0,912,2,2,1,470,0,156000
362,9144,5,5,1940,883,988,517,1505,2,3,0,240,0,145000
363,7301,7,5,2003,0,495,1427,1922,3,4,1,672,0,198500
364,1680,6,8,1972,483,483,504,987,2,2,0,264,250,118000
365,18800,6,5,1976,796,790,784,1574,4,3,1,566,306,190000
366,10690,5,7,1920,672,672,672,1344,1,3,0,468,0,147000
367,9500,6,5,1963,1394,1394,0,1394,3,3,2,514,0,159000
368,9150,6,5,1962,1099,1431,0,1431,2,3,1,296,64,165000
369,7800,5,6,1954,1268,1268,0,1268,1,2,1,244,0,132000
370,9830,5,7,1959,1063,1287,0,1287,2,3,1,576,364,162000
371,8121,6,5,2000,953,953,711,1664,3,3,1,460,100,172400
372,17120,4,4,1959,0,1120,468,1588,2,4,1,680,0,134432
373,7175,6,5,1984,744,752,0,752,2,2,0,264,353,125000
374,10634,5,6,1953,608,1319,0,1319,2,3,0,270,66,123000
375,8200,7,5,2003,847,847,1081,1928,3,4,1,434,100,219500
376,10020,1,1,1922,683,904,0,904,2,1,0,0,0,61000
377,8846,5,5,1996,870,914,0,914,1,2,0,576,0,148000
378,11143,8,5,2004,1580,1580,886,2466,3,4,1,610,159,340000
379,11394,9,2,2010,1856,1856,0,1856,3,1,1,834,113,394432
380,8123,6,5,2000,982,1007,793,1800,3,3,1,463,100,179000
381,5000,5,6,1924,1026,1026,665,1691,2,3,1,308,0,127000
382,7200,7,5,2006,1293,1301,0,1301,3,2,1,572,216,187750
383,9245,7,5,2006,939,939,858,1797,3,3,0,639,144,213500
384,9000,6,3,1928,784,784,0,784,1,2,0,360,0,76000
385,53107,6,5,1992,1580,1079,874,1953,4,3,2,501,216,240000
386,3182,8,5,2004,1256,1269,0,1269,2,2,1,430,146,192000
387,8410,5,3,1910,658,658,526,1184,1,5,0,0,0,81000
388,7200,6,6,1976,1041,1125,0,1125,2,3,1,352,296,125000
389,9382,7,5,1999,1468,1479,0,1479,2,3,0,577,120,191000
390,12474,10,5,2007,1682,1742,590,2332,4,3,1,846,196,426000
391,8405,5,8,1900,861,961,406,1367,2,4,0,384,0,119000
392,12209,6,5,2001,804,804,1157,1961,4,3,1,560,125,215000
393,8339,5,7,1959,0,882,0,882,1,3,0,294,0,106500
